The Revoked Drivers are:

UID		License No.	Vehicle No.
6146555,	8179472,	3084
4085943,	1103450,	6326
3346961,	6861234,	6131
6305906,	2949002,	2409
3699707,	8011307,	3112
8149223,	5510930,	2875
5849018,	3066746,	8873
4852350,	4590858,	7132
1554449,	7815049,	5024
1597609,	2917843,	6676
8961939,	6991940,	9830
4975017,	3782477,	5706
8525912,	6069978,	3156
6889025,	9699328,	4358
5665696,	4479869,	1929
1599513,	7490419,	1368
2321159,	7022844,	1366
8980306,	3824000,	5605
7096995,	9061734,	7359
5524547,	9067848,	9081
8329068,	8338791,	7419
8404813,	3668094,	2709
1478029,	2624776,	3514
7581475,	8861481,	1473
2680660,	7816172,	5422
8596195,	6190347,	9526
6789614,	2804944,	4175
5944355,	2095174,	5942
8493119,	5883503,	9531
9237755,	3003397,	7971
5756353,	8726922,	7352
1378040,	2748969,	5703
6216726,	9728543,	6990
3424171,	6250089,	6918
9492423,	1398797,	5411
1432287,	6069110,	6431
7966701,	8755584,	4757
5645768,	6969450,	7191
5645768,	6969450,	7191
2248371,	5350957,	1003
5668007,	1821519,	5345
9820255,	8968021,	3803
4700713,	7162533,	5416
9390319,	1959104,	1633
2912506,	9983153,	5790
3864976,	6617667,	7001
2352651,	2338428,	2480
9014747,	6458029,	8065
3513292,	1256841,	4187
3109075,	4201889,	2380
8119167,	3833011,	6638
2262509,	6661716,	7688
2062293,	4473261,	8048
9489525,	5305959,	1731
1833260,	6241531,	2112
4121070,	1784192,	7636
8210686,	2801096,	3917
1933865,	6185737,	3313
1106974,	8149808,	8283
4120091,	9896821,	1948
1329830,	9923305,	4137
4554945,	7335464,	2880
7100959,	6290986,	9671
8551008,	3049591,	9632
5096932,	4482031,	7618
3924234,	4188548,	1174
2093992,	7624719,	9082
6077809,	9712607,	5704
8479756,	4822334,	7704
3582429,	9774592,	1533
4548030,	4011748,	2733
9006649,	2595461,	6146
7964651,	6267693,	8858
6274321,	3611638,	5949
7508725,	3911978,	3317
5798139,	7866852,	7958
1401247,	1153507,	1964
1082807,	2781283,	4854
6491431,	5668229,	2530
2412981,	8302363,	6204
5938789,	4179191,	4565
1176113,	1271000,	7033
4434194,	5063649,	1916
4644166,	7614488,	2856
8522652,	5064562,	1580
8138664,	4471467,	7979
2864543,	1280176,	7272
2941505,	8501353,	1297
8013640,	4136461,	3512
4828994,	6568456,	3401
9163194,	4497871,	9513
5363605,	3677494,	8209
6798918,	5761843,	3882
4647517,	3569899,	5177
2886049,	5579707,	3938
9272455,	5393925,	2763
4080426,	9393124,	2724
8326298,	6924187,	4390
5029994,	4256285,	2024
5688070,	5524881,	9811
3071260,	1448074,	4173
3198445,	2427611,	7903
6389451,	2025392,	3124
4444793,	6915715,	6675
1449122,	6686302,	7392
